,Section,Turn_Number,Original_Target,Full_Turns,Remaining_Angle,Indexer_Row,Indexer_Hole,Current_Angle_On_Machine,Error
0,1.0,1.0,0.0,0.0,0.0,49.0,1.0,0.0,0.20408163265306123
1,1.0,2.0,72.0,7.0,2.0,45.0,9.0,72.0,0.0
2,1.0,3.0,72.0,7.0,2.0,45.0,9.0,144.0,0.0
3,1.0,4.0,72.0,7.0,2.0,45.0,9.0,216.0,0.0
4,1.0,5.0,72.0,7.0,2.0,45.0,9.0,288.0,0.0
5,1.0,6.0,-288.0,-29.0,2.0,45.0,9.0,0.0,0.0
6,2.0,7.0,39.62,3.0,9.619999999999997,49.0,47.0,39.62,0.028163265306119456
7,2.0,8.0,72.0,7.0,2.0,45.0,9.0,111.62,0.0
8,2.0,9.0,72.0,7.0,2.0,45.0,9.0,183.62,0.0
9,2.0,10.0,72.0,7.0,2.0,45.0,9.0,255.62,0.0
10,2.0,11.0,72.0,7.0,2.0,45.0,9.0,327.62,0.0
11,2.0,12.0,-327.62,-33.0,2.3799999999999955,47.0,11.0,0.0,0.03957446808510179
12,3.0,13.0,53.62,5.0,3.6199999999999974,47.0,17.0,53.62,0.002978723404252648
13,3.0,14.0,72.0,7.0,2.0,45.0,9.0,125.62,0.0
14,3.0,15.0,72.0,7.0,2.0,45.0,9.0,197.62,0.0
15,3.0,16.0,72.0,7.0,2.0,45.0,9.0,269.62,0.0
16,3.0,17.0,72.0,7.0,2.0,45.0,9.0,341.62,0.0
17,3.0,18.0,-341.62,-35.0,8.379999999999995,37.0,31.0,0.0,0.001621621621616498
18,4.0,19.0,21.24,2.0,1.2399999999999984,49.0,6.0,21.24,0.015510204081631063
19,4.0,20.0,72.0,7.0,2.0,45.0,9.0,93.24,0.0
20,4.0,21.0,72.0,7.0,2.0,45.0,9.0,165.24,0.0
21,4.0,22.0,72.0,7.0,2.0,45.0,9.0,237.24,0.0
22,4.0,23.0,72.0,7.0,2.0,45.0,9.0,309.24,0.0
23,4.0,24.0,-309.24,-31.0,0.7599999999999909,39.0,3.0,0.0,0.009230769230778257
